"mintemperaturef","events","zip"
"28","Rain",94301
"37","Rain",94301
"41","Rain",94301
"42","Rain",94301
"44","Rain",94301
"44","Rain",94301
"44","Rain",94301
"46","Rain",94301
"48","Rain-Thunderstorm",94301
"48","Rain",94301
"48","Rain",94301
"48","Rain",94301
"50","Rain",94301
"51","Rain",94301
"51","Rain",94301
"51","Rain",94301
"51","Rain",94301
"51","Rain",94301
"53","Rain",94301
"53","Rain",94301
"55","Rain",94301
"55","Rain",94301
"55","Rain",94301
"55","Rain",94301
"55","Rain",94301
"55","Rain",94301
"55","Rain",94301
"57","Rain",94301
"57","Rain",94301
"57","Rain",94301
"57","Rain",94301
"57","Rain",94301
"59","Rain",94301
"59","Rain",94301
"59","Rain",94301
"59","Rain",94301
"60","Rain",94301
"60","Rain",94301
